source_name,source_url,forecast_date,outlook_date,price_usd,price_range_min,price_range_max,context,scraped_date
gmk.center,https://gmk.center/en/news/,,2026,93,,,"ure amid rising raw material costs 31.10.2025 Winter challenges: what gas prices can we expect, and will there be enough resources? 31.10.2025 Goldman Sachs raises iron ore price forecast for 2026 to $93/t 29.10.2025 The global rebar market remains under pressure from weak demand in the fall 29.10.2025 Nucor raises prices for hot rolled coils to $885/t 28.10.2025 Gas prices in Europe fluctuated wi",8/11/2025 13:39
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/,1762518054,2024,100.6,,,"the first 10 months amounted to 1.03 billion tons, up 0.7% compared to the same period in 2024. In October, the figure decreased by 4.3% month-on-month – to 111.31 million tons. The average price was $100.6/ton (+3.7% month-on-month). Iron ore prices fluctuated within a limited range throughout October. On the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31,",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/,1762518054,2024,112.31,,,"0.6/ton (+3.7% month-on-month). Iron ore prices fluctuated within a limited range throughout October. On the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31, to $112.31/t, while on the Singapore Exchange, December contracts added 0.9% in price, ending the month at $106.2/t. As GMK Center reported earlier, China reduced steel production by 1.7% compared to 202",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/,1762518054,2024,106.2,,,"the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31, to $112.31/t, while on the Singapore Exchange, December contracts added 0.9% in price, ending the month at $106.2/t. As GMK Center reported earlier, China reduced steel production by 1.7% compared to 2023, to 1.005 billion tons, in 2024. However, exports reached a record level of 110.72 million tons, which",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/#infographic-cats-posts,1762518054,2024,100.6,,,"the first 10 months amounted to 1.03 billion tons, up 0.7% compared to the same period in 2024. In October, the figure decreased by 4.3% month-on-month – to 111.31 million tons. The average price was $100.6/ton (+3.7% month-on-month). Iron ore prices fluctuated within a limited range throughout October. On the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31,",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/#infographic-cats-posts,1762518054,2024,112.31,,,"0.6/ton (+3.7% month-on-month). Iron ore prices fluctuated within a limited range throughout October. On the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31, to $112.31/t, while on the Singapore Exchange, December contracts added 0.9% in price, ending the month at $106.2/t. As GMK Center reported earlier, China reduced steel production by 1.7% compared to 202",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/#infographic-cats-posts,1762518054,2024,106.2,,,"the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31, to $112.31/t, while on the Singapore Exchange, December contracts added 0.9% in price, ending the month at $106.2/t. As GMK Center reported earlier, China reduced steel production by 1.7% compared to 2023, to 1.005 billion tons, in 2024. However, exports reached a record level of 110.72 million tons, which",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/#interview-cats-posts,1762518054,2024,100.6,,,"the first 10 months amounted to 1.03 billion tons, up 0.7% compared to the same period in 2024. In October, the figure decreased by 4.3% month-on-month – to 111.31 million tons. The average price was $100.6/ton (+3.7% month-on-month). Iron ore prices fluctuated within a limited range throughout October. On the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31,",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/#interview-cats-posts,1762518054,2024,112.31,,,"0.6/ton (+3.7% month-on-month). Iron ore prices fluctuated within a limited range throughout October. On the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31, to $112.31/t, while on the Singapore Exchange, December contracts added 0.9% in price, ending the month at $106.2/t. As GMK Center reported earlier, China reduced steel production by 1.7% compared to 202",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/#interview-cats-posts,1762518054,2024,106.2,,,"the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31, to $112.31/t, while on the Singapore Exchange, December contracts added 0.9% in price, ending the month at $106.2/t. As GMK Center reported earlier, China reduced steel production by 1.7% compared to 2023, to 1.005 billion tons, in 2024. However, exports reached a record level of 110.72 million tons, which",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/#manufacturers-cats-posts,1762518054,2024,100.6,,,"the first 10 months amounted to 1.03 billion tons, up 0.7% compared to the same period in 2024. In October, the figure decreased by 4.3% month-on-month – to 111.31 million tons. The average price was $100.6/ton (+3.7% month-on-month). Iron ore prices fluctuated within a limited range throughout October. On the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31,",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/#manufacturers-cats-posts,1762518054,2024,112.31,,,"0.6/ton (+3.7% month-on-month). Iron ore prices fluctuated within a limited range throughout October. On the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31, to $112.31/t, while on the Singapore Exchange, December contracts added 0.9% in price, ending the month at $106.2/t. As GMK Center reported earlier, China reduced steel production by 1.7% compared to 202",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/#manufacturers-cats-posts,1762518054,2024,106.2,,,"the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31, to $112.31/t, while on the Singapore Exchange, December contracts added 0.9% in price, ending the month at $106.2/t. As GMK Center reported earlier, China reduced steel production by 1.7% compared to 2023, to 1.005 billion tons, in 2024. However, exports reached a record level of 110.72 million tons, which",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/#news-cats-posts,1762518054,2024,100.6,,,"the first 10 months amounted to 1.03 billion tons, up 0.7% compared to the same period in 2024. In October, the figure decreased by 4.3% month-on-month – to 111.31 million tons. The average price was $100.6/ton (+3.7% month-on-month). Iron ore prices fluctuated within a limited range throughout October. On the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31,",8/11/2025 13:42
gmk.center,https://gmk.center/en/news/china-increased-steel-exports-by-6-6-y-y-in-january-october/#news-cats-posts,1762518054,2024,112.31,,,"0.6/ton (+3.7% month-on-month). Iron ore prices fluctuated within a limited range throughout October. On the Dalian Commodity Exchange, January futures rose 2% between September 30 and October 31, to $112.31/t, while on the Singapore Exchange, December contracts added 0.9% in price, ending the month at $106.2/t. As GMK Center reported earlier, China reduced steel production by 1.7% compared to 202",8/11/2025 13:42
